Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2018-09-03,3014.3,3024.95,2850.0,2872.35,3008.6,30828,90125258.9,4494.0,2382.2,2923.49,12616,40.92,EQ
2018-09-04,2878.0,2915.95,2778.05,2801.45,2872.35,20549,58281611.3,4494.0,2382.2,2836.23,8933,43.47,EQ
2018-09-05,2780.0,2824.9,2720.0,2783.5,2801.45,14518,40211832.4,4494.0,2382.2,2769.79,3874,26.68,EQ
2018-09-06,2805.0,2834.0,2731.25,2756.8,2783.5,9848,27460331.7,4494.0,2382.2,2788.42,3738,37.96,EQ
2018-09-07,2782.55,2810.0,2749.95,2777.35,2756.8,8674,24117908.3,4494.0,2382.2,2780.48,2720,31.36,EQ
2018-09-10,2789.0,2789.0,2710.0,2721.0,2777.35,7369,20224147.9,4494.0,2382.2,2744.49,2874,39.0,EQ
2018-09-11,2721.0,2839.15,2690.0,2716.5,2721.0,7679,21036925.0,4494.0,2382.2,2739.54,2632,34.28,EQ
2018-09-12,2735.45,2779.0,2667.0,2755.2,2716.5,12506,34217784.75,4494.0,2382.2,2736.11,3779,30.22,EQ
2018-09-14,2785.95,2785.95,2650.0,2743.15,2755.2,7317,20136072.85,4494.0,2382.2,2751.96,2900,39.63,EQ
2018-09-17,2655.0,2733.7,2635.0,2694.25,2743.15,49597,132455300.15,4494.0,2382.2,2670.63,24460,49.32,EQ
2018-09-18,2719.0,2785.0,2705.0,2733.35,2694.25,9857,27006093.45,4494.0,2382.2,2739.79,4482,45.47,EQ
2018-09-19,2750.0,2765.0,2660.0,2709.55,2733.35,5527,15010398.2,4494.0,2382.2,2715.83,2262,40.93,EQ
2018-09-21,2750.0,2750.0,2555.05,2654.5,2709.55,24466,65533810.25,4494.0,2382.2,2678.57,15125,61.82,EQ
2018-09-24,2620.0,2647.65,2515.05,2600.05,2654.5,13693,35166730.2,4494.0,2382.2,2568.23,4820,35.2,EQ
